name,full_name,publisher,url,level,field,type
IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/,B,计算机网络,conference
IMC,ACM Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/,B,计算机网络,conference
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,ACM/IEEE,http://dblp.uni-trier.de/db/conf/ancs/,C,计算机网络,conference
APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/,C,计算机网络,conference
FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Springer,http://dblp.uni-trier.de/db/conf/forte/,C,计算机网络,conference
LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/,C,计算机网络,conference
GLOBECOM,IEEE Global Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/globecom/,C,计算机网络,conference
ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/,C,计算机网络,conference
ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/,C,计算机网络,conference
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html,C,计算机网络,conference
P2P,IEEE International Conference on P2P Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/,C,计算机网络,conference
IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/,C,计算机网络,conference
WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/,C,计算机网络,conference
ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/,C,计算机网络,conference
WCNC,IEEE Wireless Communications and Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/,C,计算机网络,conference
Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html,C,计算机网络,conference
IM,IFIP/IEEE International Symposium on Integrated NetworkManagement,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html,C,计算机网络,conference
MSN,"International Conference on Mobility, Sensing and Networking",IEEE,https://dblp.uni-trier.de/db/conf/msn/,C,计算机网络,conference
MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.uni-trier.de/db/conf/mswim/,C,计算机网络,conference
WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,http://dblp.uni-trier.de/db/conf/wasa/,C,计算机网络,conference
HotNets,ACM The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/,C,计算机网络,conference
APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html,C,计算机网络,conference
TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/,A,网络与信息安全,journal
TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/,A,网络与信息安全,journal
